,city_pol,month,value,color_cats
112,Houston NO2,5,-0.30763456994463484,other
113,Houston NO2,6,-0.5868416916513071,other
114,Houston NO2,7,-0.3416462747925204,other
115,Houston NO2,8,-0.2723977436528292,other
116,Houston NO2,9,-0.11457876602933073,other
117,Houston NO2,10,0.5215976302403453,other
118,Houston NO2,11,0.24555637791574056,other
119,Houston NO2,12,0.4041026498567413,other
120,Indianapolis NO2,1,-0.22164271240469816,other
121,Indianapolis NO2,2,-0.07974403087809354,other
122,Indianapolis NO2,3,0.12687516883246738,other
123,Indianapolis NO2,4,0.05843560677320615,other
124,Indianapolis NO2,5,-0.4341137742503221,other
125,Indianapolis NO2,6,-0.394137397676289,other
126,Indianapolis NO2,7,-0.3582729229600116,other
127,Indianapolis NO2,8,-0.18220546973373655,other
128,Indianapolis NO2,9,-0.29591229682725056,other
129,Indianapolis NO2,10,-0.11231520831389685,other
130,Indianapolis NO2,11,-0.09355012977713242,other
131,Indianapolis NO2,12,0.3438188962670071,other
132,Long Beach NO2,1,2.0028277950564877,other
133,Long Beach NO2,2,1.568268051322491,other
134,Long Beach NO2,3,0.572936052652248,other
135,Long Beach NO2,4,-0.01342262750575675,other
136,Long Beach NO2,5,-0.14463507878684423,other
137,Long Beach NO2,6,-0.3400400044549358,other
138,Long Beach NO2,7,-0.22175939063745265,other
139,Long Beach NO2,8,0.011130361940178182,other
140,Long Beach NO2,9,0.635833398655679,other
141,Long Beach NO2,10,1.0646271007276427,other
142,Long Beach NO2,11,1.6963451918062804,other
143,Long Beach NO2,12,2.032567780160757,other
144,Vandenberg Air Force Base NO2,1,-1.4958856923146702,Vandenberg Air Force Base NO2
145,Vandenberg Air Force Base NO2,2,-1.6152308561033786,Vandenberg Air Force Base NO2
146,Vandenberg Air Force Base NO2,3,-1.603229666448648,Vandenberg Air Force Base NO2
147,Vandenberg Air Force Base NO2,4,-1.6696584736301097,Vandenberg Air Force Base NO2
148,Vandenberg Air Force Base NO2,5,-1.6639023474808965,Vandenberg Air Force Base NO2
149,Vandenberg Air Force Base NO2,6,-1.6889492747788248,Vandenberg Air Force Base NO2
150,Vandenberg Air Force Base NO2,7,-1.6849044293766748,Vandenberg Air Force Base NO2
151,Vandenberg Air Force Base NO2,8,-1.7028815200528966,Vandenberg Air Force Base NO2
152,Vandenberg Air Force Base NO2,9,-1.6551903727685737,Vandenberg Air Force Base NO2
153,Vandenberg Air Force Base NO2,10,-1.616608770471144,Vandenberg Air Force Base NO2
154,Vandenberg Air Force Base NO2,11,-1.5490909664506418,Vandenberg Air Force Base NO2
155,Vandenberg Air Force Base NO2,12,-1.5355562914511403,Vandenberg Air Force Base NO2
156,Cincinnati O3,2,-0.5302005825549041,other
157,Cincinnati O3,3,0.09096772388299589,other
158,Cincinnati O3,4,0.9662058830553358,other
159,Cincinnati O3,5,0.9330727152929092,other
160,Cincinnati O3,6,1.6583209429815773,other
161,Cincinnati O3,7,0.8391360281958502,other
162,Cincinnati O3,8,1.3842300784809307,other
163,Cincinnati O3,9,0.8079029704126316,other
164,Cincinnati O3,10,-1.0954134443845314,other
165,Cincinnati O3,11,-1.4488339005170803,other
166,Cincinnati O3,12,-1.5656906642383261,other
167,Denver O3,1,-1.8043919803762367,other
168,Denver O3,2,-1.1348576917207536,other
169,Denver O3,3,-0.5396312754664105,other
170,Denver O3,4,-0.10878133768116591,other
171,Denver O3,5,0.6334582580907967,other
172,Denver O3,6,1.2496785405783177,other
173,Denver O3,7,2.00770366540831,other
174,Denver O3,8,1.6229313946188417,other
175,Denver O3,9,0.3199045859610911,other
176,Denver O3,10,-1.2379216928250751,other
177,Denver O3,11,-1.7417147414787757,other
178,Denver O3,12,-1.6323992667410976,other
179,Des Moines O3,4,0.9443471959898463,other
180,Des Moines O3,5,0.6770328955947322,other
181,Des Moines O3,6,0.483934218957795,other
182,Des Moines O3,7,0.7678819039755788,other
183,Des Moines O3,8,0.8925766213610531,other
184,Des Moines O3,9,0.33483496402687635,other
185,Des Moines O3,10,-1.0585988135373938,other
186,Houston O3,1,-1.14172862512771,other
187,Houston O3,2,-0.3972502665334045,other
188,Houston O3,3,0.5826211810028706,other
189,Houston O3,4,0.25568350770552384,other
190,Houston O3,5,-0.08182352735116435,other
191,Houston O3,6,-0.49165349849142925,other
192,Houston O3,7,-0.07113540871812363,other
193,Houston O3,8,0.392016398713644,other
194,Houston O3,9,0.05320303804625048,other
195,Houston O3,10,-0.4363127953470176,other
196,Houston O3,11,-1.0898912497574622,other
197,Houston O3,12,-1.8845528701240453,other
198,Indianapolis O3,1,-1.546392672262002,other
199,Indianapolis O3,2,-0.7938166609060343,other
200,Indianapolis O3,3,0.1960675571078967,other
201,Indianapolis O3,4,0.6569629839393546,other
202,Indianapolis O3,5,0.7696632570810852,other
203,Indianapolis O3,6,1.3857657277098157,other
204,Indianapolis O3,7,0.9477985676317654,other
205,Indianapolis O3,8,1.569490801453636,other
206,Indianapolis O3,9,1.1521197688333948,other
207,Indianapolis O3,10,-0.7640817667602667,other
208,Indianapolis O3,11,-1.2629834882404813,other
209,Indianapolis O3,12,-1.4083378065852257,other
210,Long Beach O3,1,-1.9237426384451923,other
211,Long Beach O3,2,-0.7285819441576672,other
212,Long Beach O3,3,0.336794452442934,other
213,Long Beach O3,4,0.7784512657349194,other
214,Long Beach O3,5,0.8747630903059852,other
215,Long Beach O3,6,0.30170179626444665,other
216,Long Beach O3,7,-0.3258689028055953,other
217,Long Beach O3,8,0.17647267294732014,other
218,Long Beach O3,9,0.4508010511953676,other
219,Long Beach O3,10,-0.016461571095260273,other
220,Long Beach O3,11,-1.1064578336386734,other
221,Long Beach O3,12,-1.6271803343987832,other
222,Vandenberg Air Force Base O3,1,0.5398687064707093,other
223,Vandenberg Air Force Base O3,2,0.8965210460946766,other
224,Vandenberg Air Force Base O3,3,0.814197084718756,other
225,Vandenberg Air Force Base O3,4,0.9772502723094776,other
226,Vandenberg Air Force Base O3,5,0.6930650735442937,other
227,Vandenberg Air Force Base O3,6,-0.6352305587952751,other
228,Vandenberg Air Force Base O3,7,-0.5111296257783011,other
229,Vandenberg Air Force Base O3,8,-1.0013316099973943,other
230,Vandenberg Air Force Base O3,9,-0.04251500215631344,other
231,Vandenberg Air Force Base O3,10,0.8852136951916273,other
232,Vandenberg Air Force Base O3,11,0.41766788343294253,other
233,Vandenberg Air Force Base O3,12,0.468614582250437,other
234,Cincinnati SO2,2,0.6019725607455033,Cincinnati SO2
235,Cincinnati SO2,3,1.6228000422132367,Cincinnati SO2
236,Cincinnati SO2,4,0.05318900590063359,Cincinnati SO2
237,Cincinnati SO2,5,-0.08786821167585122,Cincinnati SO2
238,Cincinnati SO2,6,1.2377297366332802,Cincinnati SO2
239,Cincinnati SO2,7,1.8065910728876102,Cincinnati SO2
240,Cincinnati SO2,8,2.23667030797798,Cincinnati SO2
241,Cincinnati SO2,9,0.5379669735354794,Cincinnati SO2
242,Cincinnati SO2,10,0.8592654919619783,Cincinnati SO2
243,Cincinnati SO2,11,0.5982986750290359,Cincinnati SO2
244,Cincinnati SO2,12,1.6519928010004417,Cincinnati SO2
245,Denver SO2,1,1.51384115378212,other
246,Denver SO2,2,0.5776317289942713,other
247,Denver SO2,3,0.21209081124281765,other
248,Denver SO2,4,-0.1860134443872001,other
249,Denver SO2,5,0.4900545822085268,other
250,Denver SO2,6,0.8931592443003619,other
251,Denver SO2,7,0.317760374740165,other
252,Denver SO2,8,0.5874850193092686,other
253,Denver SO2,9,0.5373532707816323,other
254,Denver SO2,10,0.9369757935222842,other
255,Denver SO2,11,1.0717467456697867,other
256,Denver SO2,12,0.5333812953986451,other
257,Des Moines SO2,4,-1.12943980471426,other
258,Des Moines SO2,5,-1.1636693423062994,other
259,Des Moines SO2,6,-1.1836108747172773,other
260,Des Moines SO2,7,-1.1801159669751473,other
261,Des Moines SO2,8,-1.1517455394213847,other
262,Des Moines SO2,9,-1.1615175755787919,other
263,Des Moines SO2,10,-1.1415486321266992,other
264,Houston SO2,1,-0.6597858790144754,other
265,Houston SO2,2,-0.7140523981785173,other
266,Houston SO2,3,-0.9665154290884865,other
267,Houston SO2,4,-0.9240146098400724,other
268,Houston SO2,5,-0.775323417313131,other
269,Houston SO2,6,-0.4570812299709264,other
270,Houston SO2,7,-0.4714720265561682,other
271,Houston SO2,8,-0.861668196824582,other
272,Houston SO2,9,-0.6576204067664104,other
273,Houston SO2,10,-0.655879805655624,other
274,Houston SO2,11,-0.21724147297717494,other
275,Houston SO2,12,0.07167775313252991,other
276,Indianapolis SO2,1,2.4543482382304598,other
277,Indianapolis SO2,2,1.436700158460351,other
278,Indianapolis SO2,3,-0.2848028365647458,other
